,precipitation_mm/h,wind_speed_10m_m/s,wind_direction_10m_deg,air_temperature_2m_degC,shortwave_incoming_W/m2,shortwave_outgoing_W/m2,longwave_outgoing_W/m2,longwave_incoming_W/m2
2023-07-01 00:00:00,0.0,0.4442777777777776,343.5486393488409,2.6241544333333304,-8.183728805555555,-3.1418681277777782,317.6298755555556,256.23652444444446
2023-07-01 00:30:00,0.0,0.3717222222222222,143.64098792225192,2.0245728888888896,-8.087784800000009,-3.0494711944444464,314.7661544444442,251.205066111111
2023-07-01 01:00:00,0.0,0.9273888888888892,111.66476300051414,2.2062731777777747,-8.069394905555564,-3.654543677777779,315.95720777777774,251.66234444444424
2023-07-01 01:30:00,0.0,0.5350555555555553,78.25729484839951,1.4527081833333355,-6.211711172222223,-2.8408389111111103,313.40482222222215,249.45436222222213
2023-07-01 02:00:00,0.0,0.4386666666666664,115.44638526579422,1.5440106166666696,-1.4040680501666671,-1.980180714444444,313.38255222222216,249.465346111111
2023-07-01 02:30:00,0.0,0.4650555555555554,111.86628853525758,1.371710461111114,11.055270233333333,0.6950625451666668,313.8122783333333,249.03297666666663
2023-07-01 03:00:00,0.0,0.6504444444444439,221.24869972574245,1.4532910166666688,31.346624222222232,4.073868983333331,317.26244,249.7718588888889
2023-07-01 03:30:00,0.0,0.8492777777777781,283.41720309561754,2.0309438722222226,65.14803127777782,10.969017055555556,322.63040666666666,250.56724833333328
2023-07-01 04:00:00,0.0,0.9045,277.86241676832617,2.9907719611111125,116.23822661111105,23.12673105555556,331.37952222222236,252.00246000000007
2023-07-01 04:30:00,0.0,1.5071666666666659,278.0345583971389,3.693109966666665,163.43174833333333,32.19269700000002,338.4709550000003,255.0381566666668
2023-07-01 05:00:00,0.0,1.3997777777777776,311.70319049245535,4.878839677777783,223.99542944444454,44.67227588888888,347.6364677777778,256.4535327777778
2023-07-01 05:30:00,0.0,0.7631111111111113,121.08195215881891,6.3652539888888935,286.07696666666664,59.089452166666696,359.40998,257.8373316666666
2023-07-01 06:00:00,0.0,0.7623333333333336,118.75064224146429,7.586242438888885,356.02270888888916,71.92312738888886,370.5436966666668,262.35332833333337
2023-07-01 06:30:00,0.0,1.284944444444445,104.88128233098736,8.082972494444448,326.6236844444446,59.68427222222221,373.22900055555573,272.3354538888889
2023-07-01 07:00:00,0.0,3.283333333333333,126.91873729911731,7.888710022222222,329.81380666666666,54.47425716666669,371.1302288888888,290.45278499999984
2023-07-01 07:30:00,0.0,4.064222222222221,137.08561580159608,8.255546338888893,378.61967500000014,62.03047816666667,374.6510661111112,291.14110277777814
2023-07-01 08:00:00,0.0,5.044333333333333,136.19834511550073,8.774163722222228,468.44829055555573,77.28002611111113,382.4473016666669,292.3755422222222
2023-07-01 08:30:00,0.0,5.13822222222222,131.8931162618166,8.982566333333333,504.05103944444426,81.73044700000001,385.02801444444464,282.6018088888886
2023-07-01 09:00:00,0.0,4.302500000000001,130.85012111118894,9.665300766666661,644.1119461111108,107.37101450000002,402.14322444444457,290.6802288888889
2023-07-01 09:30:00,0.0,4.568833333333334,129.28088927237934,10.095627294444443,671.6444611111116,112.02961566666677,409.511627777778,311.4210288888889
2023-07-01 10:00:00,0.0,4.579055555555555,133.97856972610668,10.38368673333334,743.257676111111,123.74880033333328,415.87468944444464,302.39336555555536
2023-07-01 10:30:00,0.0,4.944611111111112,141.3296875755464,11.367180444444443,920.5430633333333,155.85947377777774,433.74622611111124,302.49155
2023-07-01 11:00:00,0.0,5.276055555555557,128.6476548057816,11.165401277777786,710.3021211111114,115.19557600000003,420.7623344444447,312.7110311111111
2023-07-01 11:30:00,0.0,4.990499999999998,133.47762014406703,11.476521277777774,600.5468661111107,96.31181227777785,416.39193333333344,307.76570722222215
2023-07-01 12:00:00,0.0,5.340555555555554,126.84380456866587,11.203380277777793,370.09615888888885,56.3153006111111,398.7258622222223,336.9544383333333
2023-07-01 12:30:00,0.06703910614525134,8.382000022222227,114.54713414454314,9.548648127777767,314.6223794444446,46.97391711111114,375.9916172222223,344.0056511111112
2023-07-01 13:00:00,0.19999999999999984,7.064388877777778,93.95955418381766,9.913544327777794,569.6153927777779,93.1145255,387.7861083333335,315.11442222222223
2023-07-01 13:30:00,0.13258426966292106,7.711944455555552,98.88910984834502,10.590535966666668,717.5852483333334,118.5350737222222,402.520682777778,293.98691166666663
2023-07-01 14:00:00,0.0,7.116166661111113,99.11585285007942,10.94928794444445,636.289225,103.7464040555555,405.2242238888888,289.471588888889
2023-07-01 14:30:00,0.0,5.896611116666668,99.17952290034692,11.100809444444456,489.4276583333332,80.30990411111111,396.1292211111111,290.89218166666666
2023-07-01 15:00:00,0.0,5.686611111111112,134.8523750705749,11.681001499999995,327.0854500000001,50.597080888888904,395.7073944444442,331.80043666666666
2023-07-01 15:30:00,0.0337078651685393,6.491611116666669,127.6729451953962,11.26814827777778,176.17439450000006,24.64638050000001,379.80904833333335,343.68913888888886
2023-07-01 16:00:00,0.2346820809248549,7.48222225,109.75253458830707,9.966267355555562,87.4963692777778,10.26891986111111,363.5515638888888,344.8501872222223
2023-07-01 16:30:00,0.2666666666666678,5.457222227777778,97.88315658598185,9.91127915,71.0850183888889,7.106329377777772,362.38137222222224,344.63904944444425
2023-07-01 17:00:00,0.0655172413793102,3.81138888888889,138.4442244603585,10.056554299999988,80.78078661111111,8.36329918388889,363.4364044444443,319.95161388888874
2023-07-01 17:30:00,0.0,6.099000000000002,143.27810195905974,11.084539222222217,283.3156266666668,54.00444199999997,376.7996927777778,307.85486833333323
