,sza,grain_size,algae,lwc,bc,dust,maes
070823_SNOWTEST1,38.4000001847744,393.634629165455,13579.198378092164,0.1022094073564472,21.017368363391803,9622.544363202587,0.009945388
070823_SNOWTEST2,38.09999994933605,415.1994172665967,19155.60494725724,0.1036743218838231,244.16749095043937,154.3042514711264,0.0066570127
070823_SNOWTEST3,38.99999991059303,439.2475411909441,19666.629488763865,0.0986381197141704,69.56642062033735,1429.4213609943888,0.0069120293
070823_SNOWTEST4,40.60000017285347,410.5117536254917,14322.31694253989,0.0830787091469893,7.0944117677988014,5378.417103521665,0.01507559
070823_SNOWTEST5,42.19999969005585,506.2250711674716,19223.617393563494,0.0880122633444438,27.501730529185803,60530.10858585568,0.007035655
070823_SNOWTEST6,44.39999967813492,434.1179754648064,47085.99388772176,0.0778375791823357,149.4578296206891,83202.86280380178,0.007464397
070823_SNOWTEST7,46.20000034570694,489.51886263081593,74111.57715219857,0.0780835660801018,118.93944893982956,36244.666130726335,0.006908045
070823_SNOWTEST8,49.000000059604645,499.7324476348014,60825.147203463865,0.0712547328548597,11.873069474695502,55424.66842559199,0.00738734
070823_SNOWTEST9,55.39999961853028,887.4487298446729,452.86240364285936,0.0946777517389415,405.2098205772905,3802.0231241276847,0.009408723
070923_SNOW10,48.69999945163727,802.1580216811184,12605.170163960678,0.0819446252749953,11.749084181369506,4592.126842461063,0.008873628
070923_SNOW1,38.20000015199184,576.210931912983,36940.98343442561,0.0979168079286591,281.18481817165485,484.38158556253086,0.007182569
070923_SNOW2,38.29999998211861,803.7680467692118,16440.242119837036,0.0830268497662471,2.5823782838247906,814.4028352513991,0.0073248046
070923_SNOW3,38.50000001490116,963.333758028772,17.801562660233213,0.0740996603707449,123.59915229011098,358.9964530290991,0.008565455
070923_SNOW4,38.99999991059303,769.5527379932145,31124.48192067741,0.0861715999739892,63.71429551391424,369.4923829513466,0.00713018
070923_SNOW5,39.899999871850014,610.5439077901567,16314.377556345264,0.0899913368840453,10.704055160913756,5855.976108783725,0.00904641
070923_SNOW6,41.1999998986721,472.4988080241159,52135.539027692364,0.1068177057812091,435.8672437442754,8757.029447608762,0.0072068903
070923_SNOW7,42.90000036358833,475.46315116938246,30573.374360075188,0.1026263968121899,28.966072647547488,23141.347787829567,0.007697125
070923_SNOW8,44.49999988079071,560.705251949903,10342.628906630393,0.1086466098645406,33.934058870580834,87.19901114339369,0.007840952
070923_SNOW9,46.20000034570694,618.5547417324269,29469.24143478109,0.1050844385135307,249.5231418550223,8218.113890117735,0.0072253817
071123_SNOW10,50.000000596046455,609.6745748650278,35092.495733335294,0.0802455319329765,0.1195479517537351,413.1883289640097,0.007017573
071123_SNOW1,50.000000596046455,682.433081560251,31003.017386021347,0.068489094977954,26.39637229725735,267.5542243827461,0.006942603
071123_SNOW2,50.000000596046455,616.0681846952406,38390.76868531341,0.0703338468885748,139.97809078407704,530.7603781291848,0.0074058683
071123_SNOW3,50.000000596046455,602.5020922325759,44588.250812043785,0.0777019536339945,79.80837310554438,436.2187654213228,0.0070605422
071123_SNOW4,50.000000596046455,610.291022754512,60627.37118515305,0.0755800524944749,64.21411659048277,493.7161850809248,0.007224794
071123_SNOW5,50.000000596046455,509.0196227263336,28654.108334071847,0.0732201810011869,8.222588184137974,5946.443220854678,0.009139459
071123_SNOW6,50.000000596046455,617.8683671600363,30450.87821004021,0.080701444668945,48.04799270377019,391.817472980258,0.0066158827
071123_SNOW7,50.000000596046455,624.7573647028438,5603.887308387444,0.0767346971691303,10.068788462426996,4113.465168079434,0.009940544
071123_SNOW8,50.000000596046455,650.4631412310978,10808.570184768168,0.0915067065740531,5.703395427046663,1185.159624496009,0.008386039
071123_SNOW9,50.000000596046455,619.0501250905762,61306.15338778663,0.0890890193303171,317.66860982539305,225.4449030834802,0.006619136
071323_SNOW10,50.000000596046455,544.6316055404882,35560.31173991136,0.101192552946331,223.4114674112318,257.2662110457185,0.0062292926
071323_SNOW11,50.000000596046455,414.7388446940009,29127.606467501835,0.0814412500220198,15.200306037855608,10841.579182627684,0.012562019
071323_SNOW12,50.000000596046455,502.1467750584188,20239.181927731104,0.0861852594846028,2.277467174079123,1656.9547367842024,0.0068509504
071323_SNOW13,50.000000596046455,520.5962441610152,18454.43439831828,0.0911558980865747,3.727555987061829,3178.5828321555773,0.006780569
071323_SNOW1,50.000000596046455,637.037110778026,32698.410423069072,0.0788170673999347,11.260861660671685,217.60320757204204,0.007249251
071323_SNOW2,50.000000596046455,624.2751773788281,27433.723151010952,0.0773262714228549,11.959875781757871,7135.565553019515,0.008410551
071323_SNOW3,50.000000596046455,609.122028181944,13130.743734792972,0.0802935119260244,33.38140340578014,17506.37213931377,0.01387585
071323_SNOW4,50.000000596046455,523.7520866490737,14534.628171961269,0.0753039121806733,30.892964174590748,21806.830712993906,0.01395223
071323_SNOW5,50.000000596046455,502.8274933264055,11054.191558016726,0.0809691536049965,38.04875870258277,22592.31728731061,0.013704654
071323_SNOW6,50.000000596046455,479.767212477867,23958.24053225596,0.0925462111335063,1.0397020258716845,10081.214428207708,0.0068406137
071323_SNOW7,50.000000596046455,412.0322103693609,26494.144154886628,0.1062815431386676,37.96306414672115,153.09383362442978,0.0070842146
071323_SNOW8,50.000000596046455,456.1750819101962,20827.44366437985,0.1001051089485309,5.640248740916781,3714.0231317091234,0.007973965
071323_SNOW9,50.000000596046455,551.8703079909862,19769.948694136947,0.1008462377550419,128.42347031853774,296.6727165589789,0.006416553
071423_SNOW10,41.8000003695488,554.6988511313816,76968.84148043145,0.0949738985871505,836.8928457245277,31682.81313977278,0.009228615
071423_SNOW11,42.10000023245812,480.4092083065773,24151.303884133496,0.0974219907692153,338.0399689554681,160.0446550253219,0.007842065
071423_SNOW12,42.29999989271164,450.3472116287302,53653.21878272074,0.0944433453566703,709.2681958071917,115032.75135639978,0.009064212
071423_SNOW13,42.80000016093254,424.0572431247882,102574.30663393364,0.0912057259511113,335.3636474169349,276671.6615610582,0.008334444
071423_SNOW14,43.69999974966049,522.6099933514976,2404.6749691782074,0.092915776639978,403.3974877301424,421.2614226376394,0.0076360973
071423_SNOW15,43.69999974966049,397.8643711676541,44048.678717122086,0.090641292051595,20.849690325974134,160512.75430731973,0.0066070613
071423_SNOW16,44.20000001788139,414.5373493003543,12439.276518481483,0.0950851721456908,286.3428960829783,181903.44693411604,0.00661188
071423_SNOW17,45.19999980926514,433.3637802105304,10123.106567038096,0.0963992986162754,355.0356011080073,179915.79808040385,0.007072346
071423_SNOW18,46.20000034570694,380.0196377045049,10543.56557762658,0.0939534169552365,100.15986137107258,143137.88331114955,0.006900737
071423_SNOW19,46.80000007152557,627.1807822276015,8926.840597804849,0.0877579348449868,316.1935693696207,125136.66288899264,0.006132334
071423_SNOW1,38.90000008046627,437.4654867205919,61106.17664402641,0.0954105386374454,435.9712324942817,465162.715554226,0.0065140747
071423_SNOW20,48.09999972581864,409.18142712008034,20101.404086666887,0.0908021045116279,0.9046834476537088,180233.53760520736,0.0072740642
071423_SNOW22,50.399999916553504,618.6768167745992,9289.897597788897,0.0950454670122475,190.17326262528343,56215.13425020379,0.007948469
071423_SNOW23,51.79999977350236,746.4871429514255,98609.72666055136,0.109526935360422,515.6423303607454,176906.16282125775,0.006441686
071423_SNOW24,52.39999949932099,727.266724469236,145947.80375764432,0.092262897438042,69.9911210374037,790313.6911096099,0.0077557866
071423_SNOW25,53.4000000357628,573.1944172189186,47359.99691815792,0.0883183621522048,1.0545557657935665,836802.2111405043,0.0065835076
071423_SNOW26,53.79999935626984,686.040826470273,125925.81793215976,0.1005707336825026,361.2094509478503,628949.217810519,0.00598015
071423_SNOW27,54.90000009536744,609.7964982780705,36641.07584253153,0.0899431968042544,2.5034746577187224,117746.9546949012,0.007017268
071423_SNOW28,58.19999933242799,820.5860792276336,67842.44877532835,0.0977979459850939,1002.8723549116552,632.1339211341384,0.0057933796
071423_SNOW2,38.90000008046627,419.460917916804,51731.87676872216,0.0997168619816281,682.2782442947887,294948.45376022335,0.008065903
071423_SNOW3,39.19999994337559,430.4032532471093,48607.200994294704,0.0955017366357259,245.5080941930657,157954.3906442366,0.00759046
