,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.0055820346,50.000000596046455,798.6098507570588,15760.433184467682,0.08001173319773709,0.3071678227646307,71399.05086912893,0,0
070823_SNOWTEST2,0.0048652478,50.000000596046455,814.7378726665623,17694.260683424767,0.07853386982633426,364.36508147525325,33963.56410021517,1,1
070823_SNOWTEST3,0.0052136076,38.99999991059303,682.3459664993065,16166.265935195906,0.07597360685724285,151.0878552013144,69806.50334111605,2,2
070823_SNOWTEST4,0.0075341556,40.60000017285347,654.3648836609071,17088.845131490583,0.06772615067524916,2.1229964308258205,38578.12049176778,3,3
070823_SNOWTEST5,0.0050591696,42.19999969005585,776.6969794294689,15510.22830212651,0.06809705443475844,92.97057182337939,144960.1182637552,4,4
070823_SNOWTEST6,0.005564781,44.39999967813492,683.0870741649519,38296.268867549516,0.05953286527827701,257.44483943141483,138213.1033947142,5,5
070823_SNOWTEST7,0.0054812524,46.20000034570694,759.2190866383418,61526.70150450901,0.059514024574858736,245.76784842185273,80738.19678993341,6,6
070823_SNOWTEST8,0.0056740856,49.000000059604645,785.3073694164076,51282.27581966341,0.05373638991558948,127.59958430115894,110199.83966092029,7,7
070823_SNOWTEST9,0.00789035,55.39999961853028,1328.3769630307715,514.8699898466813,0.07035045841059692,514.4094462970966,4606.551410437361,8,8
070923_SNOW10,0.005035511,48.69999945163727,1209.432794010741,14121.773288661698,0.06563192728715252,0.23221224148488173,63482.072022271976,9,9
070923_SNOW1,0.00588292,38.200000151991844,853.9135914196224,33260.571932236344,0.07528195639635628,416.148359131587,725.6107333855466,10,10
070923_SNOW2,0.0052680783,38.29999998211861,1154.4628013755205,16266.902389611534,0.06580471993008055,80.17056694862264,27916.78067317811,11,11
070923_SNOW3,0.006467067,38.50000001490116,1347.270541980615,49.961265596958775,0.057654923608442536,235.96474432833108,339.76621193526273,12,12
070923_SNOW4,0.0055106375,38.99999991059303,1101.1624833285885,29889.82429283487,0.06784860159154835,196.78322574588879,242.94096247509484,13,13
070923_SNOW5,0.0054518147,39.899999871850014,928.1418440964167,16987.003981693604,0.07122427253579831,0.3703807125670928,71025.58833216688,14,14
