,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.005582066,50.000000596046455,798.6097401756507,15760.492834411574,0.08001177284631278,0.30903531802847484,71397.79384918293,0,0
070823_SNOWTEST2,0.0048671975,50.000000596046455,814.8134938039193,17705.774395182805,0.07853901215382185,364.5244274174936,34101.347433422794,1,1
070823_SNOWTEST3,0.0052135764,38.99999991059303,682.3446775873217,16166.06302931459,0.07597352920048571,151.08515924131027,69804.20010665698,2,2
070823_SNOWTEST4,0.0075338907,40.60000017285347,654.3661375382217,17088.687380876414,0.06772601035886108,2.1100338800392393,38587.58268077083,3,3
070823_SNOWTEST5,0.005059744,42.19999969005585,776.7055297957035,15511.624715266638,0.06809778086059957,92.99009419788662,144976.6378296888,4,4
070823_SNOWTEST6,0.0055647753,44.39999967813492,683.0871548139767,38296.19147819062,0.05953284842378132,257.4423641533612,138215.41920475056,5,5
070823_SNOWTEST7,0.005481277,46.20000034570694,759.2184270413662,61527.31015516331,0.059514128762952895,245.78769347045485,80719.92570955219,6,6
070823_SNOWTEST8,0.0056740916,49.000000059604645,785.3075114743193,51282.29386475048,0.05373641825563211,127.59999188738853,110199.57352098843,7,7
070823_SNOWTEST9,0.0077853394,55.39999961853028,1330.6749037303134,365.77355986901034,0.07058044658231849,522.0774317392854,4456.857976004553,8,8
070923_SNOW10,0.0050354917,48.69999945163727,1209.4331982344606,14121.776634153613,0.0656319220657596,0.2325926824733392,63482.49865542538,9,9
070923_SNOW1,0.005883034,38.200000151991844,853.9148463383314,33260.37567120738,0.07528189438993516,416.14076185448687,734.0845254106982,10,10
070923_SNOW2,0.005268075,38.29999998211861,1154.462731934106,16266.910714172964,0.06580471353354629,80.17052878950844,27916.86110560063,11,11
070923_SNOW3,0.0064670425,38.50000001490116,1347.2746855314413,50.236222106861824,0.057654699093351955,235.95702114006494,341.3432216001709,12,12
070923_SNOW4,0.0055106366,38.99999991059303,1101.1621088464697,29889.716853708098,0.06784855380653683,196.78134294228136,242.7726648969218,13,13
070923_SNOW5,0.0054518394,39.899999871850014,928.1418884978781,16987.007207345898,0.07122424840413788,0.36810415105215427,71026.25482470726,14,14
070923_SNOW6,0.0051293755,41.199999898672104,722.2003825253994,43329.36467335403,0.08166703974935272,551.3969236933159,25790.955465643514,15,15
070923_SNOW7,0.0059950887,42.90000036358833,740.1258090590422,26781.980679366083,0.07917259718946963,135.50750632815914,66333.23785980226,16,16
070923_SNOW8,0.0060650446,44.49999988079071,856.1447102062807,8455.514883130205,0.08430757429937516,139.5315179020749,37330.32610278077,17,17
070923_SNOW9,0.0053305416,46.20000034570694,933.0644742580395,26156.14939347996,0.0817624408065694,347.3293240821872,49227.70066294765,18,18
071123_SNOW10,0.005176382,40.20000010728836,763.2606365723695,29698.365180709963,0.06300729450581541,115.39767073946793,40136.679147205636,19,19
071123_SNOW1,0.005399977,44.6000000834465,916.8642039330398,27194.28889193493,0.05211184750016727,136.68666920233713,38916.12438545021,20,20
071123_SNOW2,0.005684981,42.999999821186066,809.5617771098407,33557.0927897584,0.05340422436895334,287.6554298463696,133.0173324702076,21,21
071123_SNOW3,0.005502894,40.70000000298023,762.1045289528148,38404.60748924419,0.059880691112938936,231.91188574596504,78.64767945309448,22,22
