,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
071323_SNOW12,0.0049803816,38.99999991059303,640.080100529349,16311.131954809594,0.06786686268356186,87.17088164484879,56863.56045746179,31,31
071323_SNOW13,0.0050142407,39.500000178813934,664.4047042410593,15755.408050091344,0.07191431156537437,113.88757238679683,25273.5199521427,32,32
071323_SNOW1,0.0056621665,40.799999833106995,803.0710411139784,27679.37632108689,0.06187163535897665,123.21022084194463,49913.49357183765,33,33
071323_SNOW2,0.0056229937,40.400000140070915,799.1275557304899,25617.39427685392,0.06057540028062539,37.76403375657615,53591.82907767045,34,34
071323_SNOW3,0.0066418387,40.000000074505806,789.0541583196534,17483.59406526356,0.06654455972361698,0.14601614327007656,10423.748341265546,35,35
071323_SNOW4,0.006267812,39.69999983906746,692.523247174219,18668.365603810948,0.06216034262208245,0.5179899458251807,12633.115078803026,36,36
071323_SNOW5,0.0058984123,39.500000178813934,670.8535943113101,15480.865321007308,0.06672457784382205,2.173329625608616,16791.280326777556,37,37
071323_SNOW6,0.0050805663,39.19999994337559,619.8887628590211,18114.69690604427,0.07215936411224023,72.4464215467831,105559.67805235299,38,38
071323_SNOW7,0.0051478404,39.100000113248825,541.6492341384118,19909.914301515135,0.08309185876634316,126.3872503153356,78536.16950221702,39,39
071323_SNOW8,0.0052928347,38.90000008046627,594.7656281701319,17996.683200282943,0.0794074626447913,47.40417858487351,70798.81904892005,40,40
071323_SNOW9,0.0047216164,38.79999987781048,684.7945211734883,15621.100859218614,0.07893583461323342,243.63391856322968,33628.1598438518,41,41
071423_SNOW10,0.0065025454,41.8000003695488,845.5096418499529,63606.08435583679,0.07228604295800942,974.1509188553731,333.6968354569207,42,42
071423_SNOW11,0.005906796,42.100000232458115,743.0505004431399,20734.608145067814,0.07447887133604976,435.2194641968166,36504.318216538144,43,43
071423_SNOW12,0.0063902605,42.29999989271164,712.1849512216404,44173.46233133967,0.07150967907727167,868.6963174905657,51906.52608256705,44,44
071423_SNOW13,0.005670192,42.80000016093254,669.3916045579255,81513.00004164036,0.06930493554105203,660.572602022163,84580.2622968472,45,45
