,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.0055820346,50.000000596046455,798.6098723225864,15760.437004771118,0.08001174519298099,0.3076304085484846,71398.78099132337,0,3060
070823_SNOWTEST2,0.004865033,50.000000596046455,814.722367925034,17692.914807883917,0.07853289565710776,364.34615664034936,33948.03671118191,1,3241
070823_SNOWTEST3,0.0052135675,38.99999991059303,682.3442011054194,16165.994411511181,0.07597347999871042,151.08420705073016,69803.36864873166,2,902
070823_SNOWTEST4,0.007533957,40.60000017285347,654.3661077078515,17089.0890385083,0.06772630485371478,2.128351392077083,38579.36132482942,3,1983
070823_SNOWTEST5,0.0050590904,42.19999969005585,776.6949820398511,15510.011728453765,0.06809691106072374,92.96740089270699,144957.71194650515,4,1624
070823_SNOWTEST6,0.0055647325,44.39999967813492,683.0861327119042,38296.13115057966,0.05953280544172582,257.44203867287337,138213.86190994945,5,3065
070823_SNOWTEST7,0.005481254,46.20000034570694,759.2190183069558,61526.989868914956,0.059514075622042834,245.7765984480316,80730.25129178395,6,186
070823_SNOWTEST8,0.005674073,49.000000059604645,785.3073833513995,51282.24291886887,0.0537363817058545,127.59876514390577,110200.2385477899,7,2887
070823_SNOWTEST9,0.0077845897,55.39999961853028,1330.7012308685344,375.9795984198481,0.070581503258186,522.06981075201,4454.254728803417,8,188
070923_SNOW10,0.0050354274,48.69999945163727,1209.43437858407,14121.854046232536,0.06563197102512358,0.23316793959151647,63485.294507447674,9,1809
070923_SNOW1,0.005882877,38.200000151991844,853.9136263148514,33260.86094118441,0.07528205633603328,416.1558432170601,719.1291468053357,10,2530
070923_SNOW2,0.0052680685,38.29999998211861,1154.4629396938117,16266.913568120672,0.06580473398370178,80.17075220494861,27917.051266646715,11,551
070923_SNOW3,0.0064670276,38.50000001490116,1347.2760794717458,50.37279610262724,0.05765459433863233,235.95334490889255,341.2324532234372,12,3432
070923_SNOW4,0.0055106157,38.99999991059303,1101.1621135198143,29889.77180701399,0.06784858529760845,196.7828293964955,243.45215044699555,13,3433
070923_SNOW5,0.0054517947,39.899999871850014,928.1423418596286,16987.020976539374,0.07122425897802705,0.36876361302782956,71027.13977173377,14,2714
070923_SNOW6,0.0050904127,41.199999898672104,720.471612500158,43217.448805743974,0.08158625533318847,549.6020342449752,24444.10894947725,15,1095
070923_SNOW7,0.005995058,42.90000036358833,740.1251009043755,26781.906485406806,0.07917254535164653,135.50663747484737,66332.42985770354,16,2716
070923_SNOW8,0.006064885,44.49999988079071,856.1440258771293,8455.273514508264,0.08430742970114063,139.52851292640756,37327.551152243235,17,3437
070923_SNOW9,0.005330241,46.20000034570694,933.0558657617012,26154.848612529287,0.08176179850003529,347.31031507123777,49212.789332371816,18,198
071123_SNOW10,0.005176374,40.20000010728836,763.26073038026,29698.37307951279,0.06300728713608535,115.397851591518,40136.82591365777,19,19
071123_SNOW1,0.005399748,44.6000000834465,916.8599348329229,27193.462363601004,0.052111441187938194,136.67514267597687,38906.28291029335,20,380
071123_SNOW2,0.005684972,42.999999821186066,809.5621114139474,33557.11390922919,0.0534042497880304,287.6553339167734,134.30349682828955,21,1281
071123_SNOW3,0.005502862,40.70000000298023,762.1037079933009,38404.49132240992,0.05988063750867297,231.90997828291663,79.88818970311254,22,3442
071123_SNOW4,0.0055867406,40.000000074505806,759.7980513300382,51357.10552618876,0.05827459613973156,222.25851537486247,344.2856203194915,23,2003
071123_SNOW5,0.0054421662,39.30000014603138,658.4592124467936,26901.07185309329,0.058173940367749984,60.655931602896786,38751.97360317784,24,924
071123_SNOW6,0.004874743,38.90000008046627,753.6730861760859,25796.749198719284,0.06372119563107592,179.17504475014047,20283.977266119073,25,3085
071123_SNOW7,0.005260031,38.599999845027924,777.4665086549076,5270.725306321767,0.06176369307107893,0.2590544547286171,76868.5136792899,26,26
071123_SNOW8,0.0052662664,38.79999987781048,803.6355551483102,8389.889353412378,0.07272379663380468,0.47633969663202214,104937.65435369319,27,2367
071123_SNOW9,0.00531221,38.99999991059303,756.4374370908347,49968.376501472674,0.0695779624584128,418.52176548576676,37825.36542136273,28,2188
071323_SNOW10,0.004733625,38.700000047683716,676.905770978022,28396.790222509266,0.07860357517649409,318.6592302419507,49836.03632951668,29,3269
071323_SNOW11,0.0058213794,38.90000008046627,557.9337507656649,28636.847095048313,0.06657288663418684,0.7512621928964826,65661.16650489814,30,1470
071323_SNOW12,0.004980192,38.99999991059303,640.078957866979,16311.004418327717,0.067866794138425,87.1687931147092,56862.1528085765,31,3271
071323_SNOW13,0.0050142165,39.500000178813934,664.4042433940356,15755.369265749616,0.07191429013242599,113.8869390034165,25273.013641023546,32,3452
071323_SNOW1,0.00566149,40.799999833106995,803.0669528587694,27678.73947847113,0.061871306844951374,123.20132903157469,49905.93589822533,33,1833
071323_SNOW2,0.005622985,40.400000140070915,799.1274543543383,25617.38646690275,0.060575384818834975,37.76385908751919,53591.63871283114,34,1474
071323_SNOW3,0.006537935,40.000000074505806,789.8112977255709,17597.00149119199,0.06661930921582275,3.8530066314143805,11916.983314154495,35,2555
071323_SNOW4,0.0062606484,39.69999983906746,692.5406581227749,18661.73273166016,0.06216160292772194,1.1722809158720187,12564.024747894297,36,2736
071323_SNOW5,0.005879066,39.500000178813934,671.067891576024,15516.525148666742,0.06674339353357413,2.034910202286374,17216.620372195117,37,2197
071323_SNOW6,0.005080276,39.19999994337559,619.8879526784283,18114.381828529877,0.07215918548837995,72.44188560017571,105555.96454049161,38,758
071323_SNOW7,0.005147736,39.100000113248825,541.651632636082,19910.151462722486,0.0830919964440617,126.39067334010569,78539.33196290371,39,2919
071323_SNOW8,0.005292145,38.90000008046627,594.7576622949537,17995.47130466791,0.07940686042489453,47.38766153867294,70784.78487400788,40,3280
071323_SNOW9,0.004721311,38.79999987781048,684.7930011995046,15620.877081416667,0.07893571843721932,243.63051745065457,33625.48517864684,41,3461
071423_SNOW10,0.006501811,41.8000003695488,845.4985097058166,63610.542255314074,0.07228623122004309,974.2926494828075,187.39949664162603,42,3282
071423_SNOW11,0.0059063076,42.100000232458115,743.0458611789177,20733.9284475684,0.07447857821192633,435.2102203571168,36495.6884811591,43,2563
071423_SNOW12,0.006381708,42.29999989271164,711.9574498779642,44161.865289757254,0.07149919051121982,868.4535246576513,51852.1073764468,44,224
071423_SNOW13,0.0056553716,42.80000016093254,670.6596339569012,81572.79014831467,0.06935786962335179,661.6124203678445,85268.17187679133,45,945
071423_SNOW14,0.005540129,43.69999974966049,798.0137969842744,1817.3742742380734,0.07140540386310254,531.3152160164411,744.2807948057018,46,766
071423_SNOW15,0.004687343,43.69999974966049,638.0160371443786,34833.82917997094,0.06959657859267183,106.46250400763152,238343.79244338284,47,2927
071423_SNOW16,0.0047412873,44.20000001788139,655.7859713442791,8632.18040544581,0.0726533955397065,375.95691363524156,221225.6185692764,48,588
071423_SNOW17,0.0053490936,45.19999980926514,686.5604341046336,7058.200573528819,0.07272715672709758,446.2776717802949,206890.3849336112,49,3469
071423_SNOW18,0.0047960095,46.20000034570694,617.8559891264243,7169.372014882797,0.07227716139426812,207.06422610300035,190218.9285233906,50,1670
071423_SNOW19,0.0044155526,46.800000071525574,949.2820575363768,6188.247944922561,0.06745153033323817,379.59687840534747,190974.31799928346,51,1851
071423_SNOW1,0.0046764,38.90000008046627,664.8490845221013,47637.25455807519,0.07261127542186042,665.168313666329,316176.83826313977,52,772
071423_SNOW20,0.005551977,48.099999725818634,668.0624795311318,13206.7489440444,0.06949146972396192,1.2417309616058263,347791.2700775856,53,2573
071423_SNOW22,0.005898408,50.399999916553504,953.248172699071,7278.751949334022,0.07257032118536305,280.7820840930854,103293.12168653525,54,1854
071423_SNOW23,0.004472463,51.79999977350236,1112.7387242965285,83796.27265327134,0.0858261743811901,710.3971606086624,120196.82582001353,55,955
071423_SNOW24,0.0050034462,52.39999949932099,1072.4840318352196,121905.51558365418,0.0712610274156759,617.2855723653073,358287.4808982087,56,56
071423_SNOW25,0.0067019444,53.400000035762794,931.5267393875852,32630.562230756987,0.06600778117893219,1.8804018910717637,956268.7668316261,57,1677
071423_SNOW26,0.004925521,53.79999935626984,1057.0865142718228,99010.63350761027,0.07696982062516661,614.6773150244015,484724.93963140826,58,778
071423_SNOW27,0.0053638415,54.90000009536744,960.9237722202054,30356.638279120638,0.06926101899061203,52.65391651954506,229658.72912266484,59,2039
071423_SNOW28,0.004953401,58.199999332427986,1226.5796933702893,56645.01199524887,0.07485788015541361,1113.2821489746439,463.597418725391,60,60
071423_SNOW2,0.005453723,38.90000008046627,660.6017055610191,41889.89230983725,0.07619259599597221,901.7330333092058,150049.259108147,61,1141
071423_SNOW3,0.0054475754,39.19999994337559,663.3293140181689,39586.15671041929,0.07286939903044905,376.56828728529507,160329.9974153686,62,1682
071423_SNOW4,0.005046127,39.500000178813934,668.0635575821221,57381.54089927092,0.07469726251164023,239.90408965011554,178361.2893897681,63,1683
071423_SNOW5,0.005039817,39.80000004172325,733.03256950681,19084.900378787377,0.08015488042012812,231.89277274904046,95249.75746666564,64,1144
071423_SNOW6,0.005089435,40.000000074505806,513.6390912248066,29511.32049394759,0.06999615979506607,0.5714296150376408,233487.31031212554,65,3305
071423_SNOW7,0.0056022834,40.400000140070915,627.7691543586337,26030.19158380038,0.0724021865194294,435.21061955405827,124504.09662375096,66,66
071423_SNOW8,0.005810884,40.99999986588955,643.2938451673409,8906.506789262254,0.06945022991131239,532.0920639096342,49616.399417315304,67,2047
071423_SNOW9,0.005076592,41.40000030398369,557.4359120257182,72968.99986405326,0.071193857524438,155.92379794212798,256983.44973021492,68,788
072023_SNOW1,0.0069926553,40.400000140070915,595.8253036100573,21090.75428424891,0.06872339433228081,2.228911777513734,100637.79231730809,69,2049
072123_SNOW11,0.0062202085,39.899999871850014,722.2650497769611,37190.39338459494,0.0659701115275777,1.5979787013502649,108149.25880799773,70,2950
072123_SNOW12,0.0079757245,39.899999871850014,973.9777608096041,38796.28847603536,0.05950352934455135,3.2673308270794914,121481.81901360392,71,2951
072123_SNOW13,0.0058420105,40.400000140070915,1101.3051670270336,35079.77469709981,0.06198860458943597,38.65770059911369,349026.60625998833,72,1692
