,sza,grain_size,algae,lwc,bc,dust,maes
070823_SNOWTEST1,38.4000001847744,636.0351822906957,14103.66755706646,0.0812679706783792,0.3174413714666264,76471.12715494882,0.0055069863
070823_SNOWTEST2,38.09999994933605,647.8941296993364,15307.311368829209,0.0797573314652455,321.3515992574256,67224.30029914249,0.0051677944
070823_SNOWTEST3,38.99999991059303,683.8183714970427,15587.336436227051,0.0758681871256196,124.43371648446112,97303.73835727591,0.0052645043
070823_SNOWTEST4,40.60000017285347,657.4805031764904,17580.19142390031,0.0672253941521536,1.242278440986069,23761.467793544936,0.006910337
070823_SNOWTEST5,42.19999969005585,777.2383369675648,15343.899441988344,0.068057665957864,85.6358565531272,152521.11334546868,0.005184535
070823_SNOWTEST6,44.39999967813492,684.1433019039318,37845.6323606911,0.059481597832737,237.73857881863205,158566.6745639403,0.005714276
070823_SNOWTEST7,46.20000034570694,759.8587715852976,61311.68737778873,0.0594980082942777,236.3055214302953,90407.70880498404,0.0056338576
070823_SNOWTEST8,49.000000059604645,787.0768397106635,50732.56519515775,0.0536884375375544,102.48140778222908,135923.01274973172,0.005796562
070823_SNOWTEST9,55.39999961853028,1320.967005552712,232.5835712157881,0.0729644841639494,538.0714588390324,1110.5333205746915,0.0070582237
070923_SNOW10,48.69999945163727,1209.0288833418697,14053.204633709604,0.0656561577464072,0.3589786698734525,64486.924287380745,0.005179314
070923_SNOW1,38.20000015199184,853.7778822448412,33891.924730498,0.0757103837492739,416.14101933303766,21.841845898975524,0.005511573
070923_SNOW2,38.29999998211861,1161.3029867557766,15307.23848504174,0.065518664736749,34.803181529009315,74199.28699626154,0.005078343
070923_SNOW3,38.50000001490116,1346.7011032975952,62.50779244418675,0.0586107217105373,230.02967785715867,7771.2390097847665,0.0063123833
070923_SNOW4,38.99999991059303,1104.8928677324725,29506.3941239536,0.0679954294317498,167.62771838609564,29666.62432260756,0.005382321
070923_SNOW5,39.899999871850014,927.8937658423544,16938.176987875813,0.0712404445806008,0.5117015200954815,71787.03999760695,0.00563941
070923_SNOW6,41.1999998986721,723.7226704066628,42254.07856980897,0.0815041108897476,504.8640090684693,71197.059909408,0.005268523
070923_SNOW7,42.90000036358833,743.6018351078334,25649.1465692102,0.0789652665972915,82.5051623088189,120982.86020867489,0.0060531087
070923_SNOW8,44.49999988079071,859.600541438867,7620.733516135276,0.0840682514820132,101.36808571436116,76761.58585985142,0.0061219167
070923_SNOW9,46.20000034570694,939.1819931796224,24889.64590681496,0.0815188670761463,287.234839011094,110439.9734850148,0.0052740304
071123_SNOW10,50.000000596046455,931.8946074817538,31525.15080425144,0.0620334443340101,105.31294888633226,48669.5625091139,0.0054077734
071123_SNOW1,50.000000596046455,1031.7868963624935,27947.313618955795,0.0516713368841142,119.11169772133528,55723.76526664139,0.005447839
071123_SNOW2,50.000000596046455,937.2851309217708,35206.04147128002,0.0528619503739614,290.7561743862378,38.46730881691195,0.0057761
071123_SNOW3,50.000000596046455,921.947946924984,40321.75913392905,0.0589174242668777,220.67950892751296,14201.017520300238,0.005441586
071123_SNOW4,50.000000596046455,929.3665754755068,54328.14122596628,0.0572920747292844,224.46592096268043,134.52554570310983,0.0055835
071123_SNOW5,50.000000596046455,816.0559495959963,28587.910887296937,0.0568695888338471,40.90223752607702,55845.49189623174,0.005409848
071123_SNOW6,50.000000596046455,941.1619206304532,27602.01496490409,0.0626102352938704,167.74402424191172,32435.476306520995,0.004994578
071123_SNOW7,50.000000596046455,974.5990315986752,6155.621994774185,0.0608645363087455,0.5161825790316333,73322.75778037381,0.005621959
071123_SNOW8,50.000000596046455,1006.0042580269392,9671.043052444806,0.0719974281002516,0.6054143082522708,99405.2101706436,0.005345843
071123_SNOW9,50.000000596046455,940.9124408079988,52849.42636907752,0.0683219862765023,438.1685537930233,31468.570319043803,0.0055779293
071323_SNOW10,50.000000596046455,846.2435007604138,30522.26685148192,0.0773027226571841,325.9263299313827,51730.96463222527,0.0049333656
071323_SNOW11,50.000000596046455,694.2466116139727,30964.728711870983,0.064934727493377,0.5518078061654307,57660.406729662725,0.0062091914
071323_SNOW12,50.000000596046455,797.6301955228296,17283.09512687711,0.0664144196236943,59.01988545170856,85044.07595612267,0.0049842712
071323_SNOW13,50.000000596046455,820.7977964866036,16690.036811354814,0.0707035833188453,89.54977381648318,49175.24288806332,0.00508646
071323_SNOW1,50.000000596046455,972.2155130460924,29056.973354069927,0.0609771912522694,98.93555376274504,73333.91615074154,0.005869036
071323_SNOW2,50.000000596046455,974.3781745317126,27021.47474797356,0.0597188443716766,11.476745879355445,75232.97456811188,0.0057286606
071323_SNOW3,50.000000596046455,967.0948518558166,19055.58792615691,0.0652350365436634,1.77859549646667,245.9144370287335,0.006447359
071323_SNOW4,50.000000596046455,851.6066725155761,20250.89502109279,0.0606211440515022,1.365978825647786,42.76002519234657,0.006196512
071323_SNOW5,50.000000596046455,828.4474848800992,17256.33275790363,0.0653149243366094,2.8003909929787967,2483.7525227776277,0.005913093
071323_SNOW6,50.000000596046455,768.7204405865842,19619.579035529336,0.070725220023164,64.52912191317692,114353.98601373249,0.005296933
071323_SNOW7,50.000000596046455,670.4525757089226,21757.93155493669,0.0818191079481569,135.94683560496992,71554.26378500638,0.0054812157
071323_SNOW8,50.000000596046455,740.6732048703293,19397.04049952952,0.0779340174100351,33.14945391313052,83557.21148923399,0.00554756
071323_SNOW9,50.000000596046455,855.3710105678811,16900.595873194346,0.0777474083224204,234.58996106896316,47900.579042678,0.0048315
071423_SNOW10,41.8000003695488,847.2163277402683,63634.09981446114,0.0722535121707668,956.1226611423448,17645.340246555937,0.006643523
071423_SNOW11,42.10000023245812,745.1912220877953,20040.98226784954,0.0743541472370964,402.8340825458314,69673.77613885437,0.0061299102
071423_SNOW12,42.29999989271164,714.351449730808,43065.82803569886,0.0713946818033355,818.6840379923989,101566.43735557274,0.0066936594
071423_SNOW13,42.80000016093254,677.7964437315712,80660.68160004682,0.0694631328622115,619.9991311622986,133523.14257485242,0.0061375084
071423_SNOW14,43.69999974966049,799.8796153206233,1296.1695061538,0.0712514940735625,508.2110151048295,24667.21767017412,0.005733751
071423_SNOW15,43.69999974966049,637.3800709736479,35086.734013421345,0.0696177709703377,119.99167975527024,224447.4747185921,0.004825046
071423_SNOW16,44.20000001788139,657.3671357846832,7987.36821684941,0.0725529871178311,345.46644425896966,252605.7851709661,0.0048436606
071423_SNOW17,45.19999980926514,689.0997489782868,6137.131378717248,0.0725906164827164,401.2350661781026,252945.74533443345,0.005414156
071423_SNOW18,46.20000034570694,619.2466651027516,6522.406625449282,0.0721649412067458,177.21760195297395,221255.99626167776,0.004889263
071423_SNOW19,46.80000007152557,951.8513376668784,5883.017230330575,0.0674149058859462,361.2727264533459,211701.2135583712,0.0044870516
071423_SNOW1,38.90000008046627,666.1015075256004,47296.81490558821,0.0726110523623926,648.609118693429,333564.28731107566,0.004768925
071423_SNOW20,48.09999972581864,669.4641781017963,13437.003788147576,0.069416630707768,0.4400210932303222,337651.3898718324,0.0053684744
071423_SNOW22,50.399999916553504,958.8504463231924,6221.669733988016,0.0723352662676509,229.61439409536356,155256.88484832676,0.0058562127
071423_SNOW23,51.79999977350236,1113.0927810416,83707.87938465024,0.0858119310544438,707.9628074352839,122595.03998608944,0.004632256
071423_SNOW24,52.39999949932099,1078.8845963766985,120864.65636730284,0.071204650933025,568.6907957964617,406456.5683824743,0.005250609
071423_SNOW25,53.4000000357628,930.6603189491508,32178.17494354329,0.0674754640740253,0.1021568761292836,936314.7667511888,0.005348279
071423_SNOW26,53.79999935626984,1044.363335304876,101095.10280304296,0.0771271383422622,716.0690024496722,384196.0961344235,0.0048935064
071423_SNOW27,54.90000009536744,957.875644689301,30890.98271545176,0.0693308780755809,81.21481520912299,200807.4890318954,0.0055300267
071423_SNOW28,58.19999933242799,1226.7730167342688,56939.43019327476,0.0748953025702377,1112.756758522963,373.489005390555,0.0051431633
071423_SNOW2,38.90000008046627,659.642005802792,40564.52035487218,0.0758981023625605,843.9121158988008,204052.22559405677,0.0058361148
071423_SNOW3,39.19999994337559,664.9438336031003,38931.57039146615,0.0728138482858464,344.8428708863054,192835.79435412347,0.0056311693
