,mean_MAE,sza,grain_size,algae,lwc,bc,dust,indices,single_indices
070823_SNOWTEST1,0.0055820365,50.000000596046455,798.6093470090308,15760.47013233476,0.08001176964396572,0.3105714979966414,71396.16300048014,0,3060
070823_SNOWTEST2,0.0048649786,50.000000596046455,814.7200499322233,17692.62998132758,0.07853247431275648,364.3386079603369,33943.64914170335,1,2341
070823_SNOWTEST3,0.0052135675,38.99999991059303,682.3442176865257,16166.016580985259,0.07597347019140441,151.08451361999644,69803.76477256246,2,2522
070823_SNOWTEST4,0.0075333207,40.60000017285347,654.3691457763691,17088.928331847605,0.06772606513147247,2.1029312528236996,38599.04652691484,3,3063
070823_SNOWTEST5,0.005059082,42.19999969005585,776.6949532473801,15509.991154998503,0.06809692623708202,92.96745988169296,144957.41306791204,4,1984
070823_SNOWTEST6,0.0055647474,44.39999967813492,683.0868637731592,38296.07836214723,0.05953281974845562,257.4391634645177,138217.98425821157,5,2885
070823_SNOWTEST7,0.0054812604,46.20000034570694,759.2190667774354,61527.05125855358,0.059514111403780476,245.778596179512,80728.83051688602,6,366
070823_SNOWTEST8,0.005674064,49.000000059604645,785.3072038380403,51282.22233996238,0.05373636859220338,127.59818959319878,110200.4985684633,7,367
070823_SNOWTEST9,0.0077853394,55.39999961853028,1330.6749037303134,365.77355986901034,0.07058044658231849,522.0774317392854,4456.857976004553,8,8
070923_SNOW10,0.0050354307,48.69999945163727,1209.433964116807,14121.833785812747,0.065631992237511,0.23541137034600138,63484.09288562115,9,1989
070923_SNOW1,0.005882925,38.200000151991844,853.913592066505,33260.612630460375,0.07528196912692028,416.1492919906737,724.5818778933051,10,1630
070923_SNOW2,0.005268069,38.29999998211861,1154.462874902111,16266.918864270443,0.06580472972778771,80.17076686503424,27917.019488421498,11,731
070923_SNOW3,0.0064670267,38.50000001490116,1347.2766032105476,50.37807047459908,0.057654558981212106,235.9526738820956,341.3975657163214,12,1992
070923_SNOW4,0.005510626,38.99999991059303,1101.1619464830976,29889.765824670343,0.06784859116735491,196.78290644665063,242.43591973395127,13,2533
070923_SNOW5,0.0054518026,39.899999871850014,928.1422581467839,16986.989061967855,0.07122423391161507,0.3670880127597147,71027.44897281402,14,2714
070923_SNOW6,0.0051058247,41.199999898672104,719.653995121881,43191.965907911734,0.08153305242398358,548.9039368600597,24016.018354616255,15,1995
070923_SNOW7,0.005995059,42.90000036358833,740.1251889990351,26781.90159198997,0.07917255193628744,135.50656318919687,66332.2221880043,16,376
070923_SNOW8,0.006064875,44.49999988079071,856.1445112277751,8455.2577877206,0.08430732925002966,139.52791092857473,37327.38914268127,17,2537
070923_SNOW9,0.0053303014,46.20000034570694,933.0579983520902,26155.10406156133,0.08176194887204334,347.3143496764087,49215.63275703694,18,3438
071123_SNOW10,0.0051763784,40.20000010728836,763.260723789012,29698.372898000212,0.06300729854947526,115.39788356158554,40136.82781341059,19,1999
071123_SNOW1,0.0053996993,44.6000000834465,916.8582849825046,27193.284427461786,0.05211133175446081,136.67253737950887,38904.284284536225,20,2720
071123_SNOW2,0.0056849713,42.999999821186066,809.5621301414313,33557.11559109359,0.05340424272360984,287.6554276544505,134.09483410510398,21,921
071123_SNOW3,0.0055028605,40.70000000298023,762.1037331148228,38404.495970576,0.059880636008931794,231.90992595641558,79.6580137529447,22,2722
071123_SNOW4,0.005586734,40.000000074505806,759.7980083791334,51357.03565925063,0.058274591199706925,222.25689608371772,346.2070666649114,23,1823
071123_SNOW5,0.0054421653,39.30000014603138,658.4591253765376,26901.05253565569,0.05817394098584057,60.655572757771864,38751.758807333325,24,24
071123_SNOW6,0.004874724,38.90000008046627,753.6732425154806,25796.725457002165,0.0637211765937875,179.1745430547822,20283.791455180013,25,745
071123_SNOW7,0.005260019,38.599999845027924,777.4668861576627,5270.789151036367,0.061763744799602026,0.2584968557842024,76868.97247479102,26,1106
